अँग	a mq g a
ग़ज़लें	gq a z a l a ee q
ग़ज़लों	gq a z a l a o q
ग़फूर	gq a ph a uu r a
ग़बन	gq a b a n a
ग़म	gq a m a
ग़रीब	gq a r a ii b a
ग़रीबी	gq a r a ii b a ii
ग़रीबों	gq a r a ii b a o q
ग़लत	gq a l a t a
ग़लतफ़हमी	gq a l a t a f a h a m a ii
ग़लतियाँ	gq a l a t a i y a aa mq
ग़लती	gq a l a t a ii
ग़ायब	gq a aa y a b a
ग़ालिब	gq a aa l a i b a
ग़ुलाम	gq a u l a aa m a
ग़ुस्सा	gq a u s a s a aa
ग़ैर	gq a ei r a
ग़ैरभारतीयों	gq a ei r a bh a aa r a t a ii y a o q
ग़ैरमर्द	gq a ei r a m a r a d a
ग़ैरमुक़फ़्फ़ा	gq a ei r a m a u kq a f a f a aa
ग़ैरों	gq a ei r a o q
ग़ोदामों	gq a o d a aa m a o q
ग़ोरी	gq a o r a ii
ग़ौर	gq a ou r a
ग़ौरतलब	gq a ou r a t a l a b a
गा	g a aa
गाँधी	g a aa mq dh a ii
गाँव	g a aa mq w a
गाँवगाँव	g a aa mq w a g a aa mq w a
गाँववालों	g a aa mq w a w a aa l a o q
गाँवों	g a aa mq w a o q
गांगुली	g a aa q g a u l a ii
गांठ	g a aa q txh a
गांधी	g a aa q dh a ii
गांव	g a aa q w a
गांवों	g a aa q w a o q
गाइड	g a aa i dx a
गाई	g a aa ii
गाऊँ	g a aa uu mq
गाए	g a aa ee
गाओनकर	g a aa o n a k a r a
गाकर	g a aa k a r a
गाजर	g a aa j a r a
गाजरमूली	g a aa j a r a m a uu l a ii
गाज़ीपुर	g a aa z a ii p a u r a
गाजियाबाद	g a aa j a i y a aa b a aa d a
गाड़ियाँ	g a aa dxq a i y a aa mq
गाड़ियां	g a aa dxq a i y a aa q
गाड़ियों	g a aa dxq a i y a o q
गाड़ी	g a aa dxq a ii
गाडी	g a aa dx a ii
गाढ़ा	g a aa dxhq a aa
गातीं	g a aa t a ii q
गाते	g a aa t a ee
गाथा	g a aa th a aa
गाना	g a aa n a aa
गाने	g a aa n a ee
गामा	g a aa m a aa
गाय	g a aa y a
गायक	g a aa y a k a
गायत्री	g a aa y a t a r a ii
गायन	g a aa y a n a
गायब	g a aa y a b a
गाया	g a aa y a aa
गायें	g a aa y a ee q
गाराईंटें	g a aa r a aa ii q tx a ee q
गार्ड	g a aa r a dx a
गाल	g a aa l a
गालिब	g a aa l a i b a
गालियाँ	g a aa l a i y a aa mq
गालियों	g a aa l a i y a o q
गिजेलसाफ्ट	g a i j a ee l a s a aa ph a tx a
गिटार	g a i tx a aa r a
गिनती	g a i n a t a ii
गिनते	g a i n a t a ee
गिना	g a i n a aa
गिनी	g a i n a ii
गिने	g a i n a ee
गिफ़्ट	g a i f a tx a
गिर	g a i r a
गिरकर	g a i r a k a r a
गिरगिट	g a i r a g a i tx a
गिरजाघर	g a i r a j a aa gh a r a
गिरता	g a i r a t a aa
गिरती	g a i r a t a ii
गिरते	g a i r a t a ee
गिरने	g a i r a n a ee
गिरफतार	g a i r a ph a t a aa r a
गिरफ़्तार	g a i r a f a t a aa r a
गिरफ़्तारियाँ	g a i r a f a t a aa r a i y a aa mq
गिरफ़्तारी	g a i r a f a t a aa r a ii
गिरफ्त	g a i r a ph a t a
गिरफ्तार	g a i r a ph a t a aa r a
गिरमिटियों	g a i r a m a i tx a i y a o q
गिरवी	g a i r a w a ii
गिरह	g a i r a h a
गिरा	g a i r a aa
गिराया	g a i r a aa y a aa
गिरावट	g a i r a aa w a tx a
गिराह	g a i r a aa h a
गिरिराज	g a i r a i r a aa j a
गिरी	g a i r a ii
गिरीं	g a i r a ii q
गिरीश	g a i r a ii sh a
गिरे	g a i r a ee
गिरेगा	g a i r a ee g a aa
गिऱफ्तार	g a i ph a t a aa r a
गिल	g a i l a
गिलक्रिस्ट	g a i l a k a r a i s a tx a
गिलहरियाँ	g a i l a h a r a i y a aa mq
गिलास	g a i l a aa s a
गीगू	g a ii g a uu
गीत	g a ii t a
गीतकार	g a ii t a k a aa r a
गीता	g a ii t a aa
गीतांजलि	g a ii t a aa q j a l a i
गीतो	g a ii t a o
गीतों	g a ii t a o q
गीदड़	g a ii d a dxq a
गीध	g a ii dh a
गीधपंखी	g a ii dh a p a q kh a ii
गीशा	g a ii sh a aa
गुंजाइश	g a u q j a aa i sh a
गुंजायश	g a u q j a aa y a sh a
गुंडागर्दी	g a u q dx a aa g a r a d a ii
गुच्चे	g a u c a c a ee
गुच्छों	g a u c a ch a o q
गुजर	g a u j a r a
गुजरते	g a u j a r a t a ee
गुजरा	g a u j a r a aa
गुजरात	g a u j a r a aa t a
गुजराती	g a u j a r a aa t a ii
गुजरे	g a u j a r a ee
गुज़र	g a u z a r a
गुज़रकर	g a u z a r a k a r a
गुज़रता	g a u z a r a t a aa
गुज़रते	g a u z a r a t a ee
गुज़रना	g a u z a r a n a aa
गुज़रनेवालों	g a u z a r a n a ee w a aa l a o q
गुज़रा	g a u z a r a aa
गुज़री	g a u z a r a ii
गुज़रे	g a u z a r a ee
गुज़ारना	g a u z a aa r a n a aa
गुज़ारने	g a u z a aa r a n a ee
गुज़ारा	g a u z a aa r a aa
गुज़ारिश	g a u z a aa r a i sh a
गुजार	g a u j a aa r a
गुजारा	g a u j a aa r a aa
गुजारे	g a u j a aa r a ee
गुजिश्ता	g a u j a i sh a t a aa
गुट	g a u tx a
गुटिका	g a u tx a i k a aa
गुड़	g a u dxq a
गुड़गांव	g a u dxq a g a aa q w a
गुड़गुड़ाते	g a u dxq a g a u dxq a aa t a ee
गुड़ियों	g a u dxq a i y a o q
गुडिया	g a u dx a i y a aa
गुडियां	g a u dx a i y a aa q
गुडियों	g a u dx a i y a o q
गुडे	g a u dx a ee
गुण	g a u nx a
गुणगान	g a u nx a g a aa n a
गुणवती	g a u nx a w a t a ii
गुणवत्ता	g a u nx a w a t a t a aa
गुणवान	g a u nx a w a aa n a
गुणा	g a u nx a aa
गुत्थमगुत्था	g a u t a th a m a g a u t a th a aa
गुदगुदी	g a u d a g a u d a ii
गुनगुना	g a u n a g a u n a aa
गुनगुनाने	g a u n a g a u n a aa n a ee
गुनर	g a u n a r a
गुना	g a u n a aa
गुनाह	g a u n a aa h a
गुनी	g a u n a ii
गुनीसिंह	g a u n a ii s a i q h a
गुप्	g a u p a
गुप्त	g a u p a t a
गुप्तकार	g a u p a t a k a aa r a
गुप्तचर	g a u p a t a c a r a
गुप्ता	g a u p a t a aa
गुप्तेश्	g a u p a t a ee sh a
गुप्तेसरसिंह	g a u p a t a ee s a r a s a i q h a
गुफ़ा	g a u f a aa
गुफा	g a u ph a aa
गुम	g a u m a
गुमनामसी	g a u m a n a aa m a s a ii
गुमसुम	g a u m a s a u m a
गुमान	g a u m a aa n a
गुरनाम	g a u r a n a aa m a
गुरु	g a u r a u
गुरुकुल	g a u r a u k a u l a
गुरुग्राम	g a u r a u g a r a aa m a
गुरुचरण	g a u r a u c a r a nx a
गुरुजी	g a u r a u j a ii
गुरुत्वाकर्षण	g a u r a u t a w a aa k a r a sx a nx a
गुरुद्वारे	g a u r a u d a w a aa r a ee
गुरुवार	g a u r a u w a aa r a
गुरूजी	g a u r a uu j a ii
गुरो	g a u r a o
गुर्दा	g a u r a d a aa
गुर्दे	g a u r a d a ee
गुर्राता	g a u r a r a aa t a aa
गुर्राती	g a u r a r a aa t a ii
गुर्राना	g a u r a r a aa n a aa
गुल	g a u l a
गुलज़ार	g a u l a z a aa r a
गुलज़ारटैप	g a u l a z a aa r a tx a ei p a
गुलाटी	g a u l a aa tx a ii
गुलाब	g a u l a aa b a
गुलाम	g a u l a aa m a
गुलाल	g a u l a aa l a
गुलॉश	g a u l a sh a
गुल्ले	g a u l a l a ee
गुसलखाने	g a u s a l a kh a aa n a ee
गुस्ताख़ी	g a u s a t a aa khq a ii
गुस्सा	g a u s a s a aa
गुस्साए	g a u s a s a aa ee
गुस्से	g a u s a s a ee
गुहा	g a u h a aa
गुहार	g a u h a aa r a
गु़डगांव	g a u dx a g a aa q w a
गूँज	g a uu mq j a
गूँजती	g a uu mq j a t a ii
गूंगा	g a uu q g a aa
गूंगेबहरेपन	g a uu q g a ee b a h a r a ee p a n a
गूंज	g a uu q j a
गूजर	g a uu j a r a
गूढ़	g a uu dxhq a
गृह	g a rq h a
गृहदेवियां	g a rq h a d a ee w a i y a aa q
गृहनगर	g a rq h a n a g a r a
गृहमंत्री	g a rq h a m a q t a r a ii
गृहयुद्ध	g a rq h a y a u d a dh a
गृहस्थ	g a rq h a s a th a
गृहस्थी	g a rq h a s a th a ii
गृहिणियों	g a rq h a i nx a i y a o q
गॅरेंटी	g a r a ee q tx a ii
गेंद	g a ee q d a
गेंदबाज	g a ee q d a b a aa j a
गेंदबाजी	g a ee q d a b a aa j a ii
गेंदबाजों	g a ee q d a b a aa j a o q
गेंदों	g a ee q d a o q
गेट	g a ee tx a
गेटिंग	g a ee tx a i q g a
गेट्स	g a ee tx a s a
गेम्स	g a ee m a s a
गेरुआ	g a ee r a u aa
गेरुए	g a ee r a u ee
गेरे	g a ee r a ee
गेलिक	g a ee l a i k a
गेसू	g a ee s a uu
गेस्ट	g a ee s a tx a
गेस्टरूम	g a ee s a tx a r a uu m a
गेहरा	g a ee h a r a aa
गेहूँ	g a ee h a uu mq
गैटलीन	g a ei tx a l a ii n a
गैर	g a ei r a
गैरकानूनी	g a ei r a k a aa n a uu n a ii
गैरयहूदियों	g a ei r a y a h a uu d a i y a o q
गैरराजनीतिक	g a ei r a r a aa j a n a ii t a i k a
गैरऱ्योजना	g a ei r a y a o j a n a aa
गैलिलिओ	g a ei l a i l a i o
गैलिलियो	g a ei l a i l a i y a o
गैस	g a ei s a
गैसीफायर	g a ei s a ii ph a aa y a r a
गॉड	g a dx a
गॉर्ड	g a r a dx a
गो	g a o
गोंड	g a o q dx a
गोंडा	g a o q dx a aa
गोंदा	g a o q d a aa
गोआ	g a o aa
गोखले	g a o kh a l a ee
गोचर	g a o c a r a
गोजर	g a o j a r a
गोटियों	g a o tx a i y a o q
गोता	g a o t a aa
गोत्र	g a o t a r a
गोथरॉक	g a o th a r a k a
गोद	g a o d a
गोदान	g a o d a aa n a
गोदाम	g a o d a aa m a
गोपा	g a o p a aa
गोपाल	g a o p a aa l a
गोपालगंज	g a o p a aa l a g a q j a
गोपाला	g a o p a aa l a aa
गोपीचंद	g a o p a ii c a q d a
गोपीनाथ	g a o p a ii n a aa th a
गोबर	g a o b a r a
गोभी	g a o bh a ii
गोमती	g a o m a t a ii
गोमूत्र	g a o m a uu t a r a
गोयठा	g a o y a txh a aa
गोया	g a o y a aa
गोरखनाथ	g a o r a kh a n a aa th a
गोरा	g a o r a aa
गोरावाला	g a o r a aa w a aa l a aa
गोरीगोरी	g a o r a ii g a o r a ii
गोरे	g a o r a ee
गोल	g a o l a
गोलकीपर	g a o l a k a ii p a r a
गोलमाल	g a o l a m a aa l a
गोलाकार	g a o l a aa k a aa r a
गोलार्धो	g a o l a aa r a dh a o
गोलियाँ	g a o l a i y a aa mq
गोलियां	g a o l a i y a aa q
गोली	g a o l a ii
गोलीबारी	g a o l a ii b a aa r a ii
गोले	g a o l a ee
गोलों	g a o l a o q
गोल्फ	g a o l a ph a
गोल्फर	g a o l a ph a r a
गोविंद	g a o w a i q d a
गोविन्द	g a o w a i n a d a
गोष्ठी	g a o sx a txh a ii
गौतम	g a ou t a m a
गौर	g a ou r a
गौरव	g a ou r a w a
गौरवर्ण	g a ou r a w a r a nx a
गौरवान्वित	g a ou r a w a aa n a w a i t a
गौरी	g a ou r a ii
गौरैया	g a ou r a ei y a aa
गौहरजान	g a ou h a r a j a aa n a
ग्यारह	g a y a aa r a h a
ग्यारहवीं	g a y a aa r a h a w a ii q
ग्यारहवे	g a y a aa r a h a w a ee
ग्रंथ	g a r a q th a
ग्रंथों	g a r a q th a o q
ग्रन्थ	g a r a n a th a
ग्रन्थकार	g a r a n a th a k a aa r a
ग्रन्थों	g a r a n a th a o q
ग्रसने	g a r a s a n a ee
ग्रसित	g a r a s a i t a
ग्रस्त	g a r a s a t a
ग्रह	g a r a h a
ग्रहण	g a r a h a nx a
ग्रहनक्षत्रों	g a r a h a n a k a sx a t a r a o q
ग्रहमैत्री	g a r a h a m a ei t a r a ii
ग्रहों	g a r a h a o q
ग्राउंड	g a r a aa u q dx a
ग्राथ	g a r a aa th a
ग्रान्ट	g a r a aa n a tx a
ग्राफिक्स	g a r a aa ph a i k a s a
ग्राम	g a r a aa m a
ग्रामदान	g a r a aa m a d a aa n a
ग्रामवासी	g a r a aa m a w a aa s a ii
ग्रामसेवक	g a r a aa m a s a ee w a k a
ग्रामीण	g a r a aa m a ii nx a
ग्रामोफ़ोन	g a r a aa m a o f a o n a
ग्रामोफोन	g a r a aa m a o ph a o n a
ग्रासिम	g a r a aa s a i m a
ग्राहक	g a r a aa h a k a
ग्राहकों	g a r a aa h a k a o q
ग्रिम	g a r a i m a
ग्रीन	g a r a ii n a
ग्रीम	g a r a ii m a
ग्रीवास्थ	g a r a ii w a aa s a th a
ग्रीष्म	g a r a ii sx a m a
ग्रीस	g a r a ii s a
ग्रुप	g a r a u p a
ग्रेग	g a r a ee g a
ग्रेटर	g a r a ee tx a r a
ग्रोवर	g a r a o w a r a
ग्लानि	g a l a aa n a i
ग्लेज़	g a l a ee z a
ग्लेशियर	g a l a ee sh a i y a r a
ग्लैमरस	g a l a ei m a r a s a
ग्लोबल	g a l a o b a l a
ग्लोबलाइजेशन	g a l a o b a l a aa i j a ee sh a n a
ग्लोऱिया	g a l a o i y a aa
ग्लोस्टर	g a l a o s a tx a r a
घंटा	gh a q tx a aa
घंटी	gh a q tx a ii
घंटे	gh a q tx a ee
घंटों	gh a q tx a o q
घट	gh a tx a
घटक	gh a tx a k a
घटती	gh a tx a t a ii
घटना	gh a tx a n a aa
घटनाऍं	gh a tx a n a aa q
घटनाएँ	gh a tx a n a aa ee mq
घटनाएं	gh a tx a n a aa ee q
घटनाओं	gh a tx a n a aa o q
घटनाक्रम	gh a tx a n a aa k a r a m a
घटनाचक्र	gh a tx a n a aa c a k a r a
घटनास्थल	gh a tx a n a aa s a th a l a
घटने	gh a tx a n a ee
घटनोतर	gh a tx a n a o t a r a
घटा	gh a tx a aa
घटाए	gh a tx a aa ee
घटाएं	gh a tx a aa ee q
घटाना	gh a tx a aa n a aa
घटाने	gh a tx a aa n a ee
घटित	gh a tx a i t a
घटिया	gh a tx a i y a aa
घटी	gh a tx a ii
घटीं	gh a tx a ii q
घटेगी	gh a tx a ee g a ii
घड़ी	gh a dxq a ii
घडी	gh a dx a ii
घण्टनाद	gh a nx a tx a n a aa d a
घण्टे	gh a nx a tx a ee
घन	gh a n a
घनघनाते	gh a n a gh a n a aa t a ee
घनघोर	gh a n a gh a o r a
घनत्व	gh a n a t a w a
घनमूल	gh a n a m a uu l a
घना	gh a n a aa
घनिष्ठ	gh a n a i sx a txh a
घने	gh a n a ee
घबरा	gh a b a r a aa
घबराइये	gh a b a r a aa i y a ee
घबराई	gh a b a r a aa ii
घबराकर	gh a b a r a aa k a r a
घबराता	gh a b a r a aa t a aa
घबराने	gh a b a r a aa n a ee
घबराये	gh a b a r a aa y a ee
घबराहट	gh a b a r a aa h a tx a
घमंड	gh a m a q dx a
घमण्ड	gh a m a nx a dx a
घर	gh a r a
घरपरिवार	gh a r a p a r a i w a aa r a
घरबार	gh a r a b a aa r a
घरभर	gh a r a bh a r a
घरवर	gh a r a w a r a
घरवालों	gh a r a w a aa l a o q
घराने	gh a r a aa n a ee
घरानों	gh a r a aa n a o q
घरेलू	gh a r a ee l a uu
घरो	gh a r a o
घरों	gh a r a o q
घर्रघर्र	gh a r a r a gh a r a r a
घऱ	gh a
घऱों	gh a o q
घसीट	gh a s a ii tx a
घसीटकर	gh a s a ii tx a k a r a
घसीटा	gh a s a ii tx a aa
घाट	gh a aa tx a
घाटा	gh a aa tx a aa
घाटित	gh a aa tx a i t a
घाटियां	gh a aa tx a i y a aa q
घाटी	gh a aa tx a ii
घाटे	gh a aa tx a ee
घाटों	gh a aa tx a o q
घातक	gh a aa t a k a
घातों	gh a aa t a o q
घायल	gh a aa y a l a
घायलों	gh a aa y a l a o q
घालमेल	gh a aa l a m a ee l a
घाव	gh a aa w a
घावों	gh a aa w a o q
घास	gh a aa s a
घिर	gh a i r a
घिरने	gh a i r a n a ee
घिरा	gh a i r a aa
घिरे	gh a i r a ee
घिरें	gh a i r a ee q
घिसटती	gh a i s a tx a t a ii
घिसने	gh a i s a n a ee
घिसापिटा	gh a i s a aa p a i tx a aa
घी	gh a ii
घुँघराले	gh a u mq gh a r a aa l a ee
घुँघरू	gh a u mq gh a r a uu
घुंघराले	gh a u q gh a r a aa l a ee
घुंघरुओं	gh a u q gh a r a u o q
घुंघरू	gh a u q gh a r a uu
घुटन	gh a u tx a n a
घुटने	gh a u tx a n a ee
घुटनों	gh a u tx a n a o q
घुट्टी	gh a u tx a tx a ii
घुड़सवार	gh a u dxq a s a w a aa r a
घुड़सवारों	gh a u dxq a s a w a aa r a o q
घुमा	gh a u m a aa
घुमाकर	gh a u m a aa k a r a
घुमाती	gh a u m a aa t a ii
घुमाने	gh a u m a aa n a ee
घुमाया	gh a u m a aa y a aa
घुमाव	gh a u m a aa w a
घुर्रघुर्र	gh a u r a r a gh a u r a r a
घुर्राने	gh a u r a r a aa n a ee
घुर्राहट	gh a u r a r a aa h a tx a
घुल	gh a u l a
घुलती	gh a u l a t a ii
घुलनशील	gh a u l a n a sh a ii l a
घुलमिल	gh a u l a m a i l a
घुस	gh a u s a
घुसकर	gh a u s a k a r a
घुसते	gh a u s a t a ee
घुसने	gh a u s a n a ee
घुसपैठ	gh a u s a p a ei txh a
घुसपैठियों	gh a u s a p a ei txh a i y a o q
घुसा	gh a u s a aa
घुसी	gh a u s a ii
घुसे	gh a u s a ee
घूँघट	gh a uu mq gh a tx a
घूँट	gh a uu mq tx a
घूंट	gh a uu q tx a
घूम	gh a uu m a
घूमकर	gh a uu m a k a r a
घूमघाम	gh a uu m a gh a aa m a
घूमता	gh a uu m a t a aa
घूमताघामता	gh a uu m a t a aa gh a aa m a t a aa
घूमते	gh a uu m a t a ee
घूमना	gh a uu m a n a aa
घूमने	gh a uu m a n a ee
घूमा	gh a uu m a aa
घूमी	gh a uu m a ii
घूमेगा	gh a uu m a ee g a aa
घूरकर	gh a uu r a k a r a
घूरघूर	gh a uu r a gh a uu r a
घृणा	gh a rq nx a aa
घृणित	gh a rq nx a i t a
घृत	gh a rq t a
घेर	gh a ee r a
घेरकर	gh a ee r a k a r a
घेरा	gh a ee r a aa
घेराबंदी	gh a ee r a aa b a q d a ii
घेरे	gh a ee r a ee
घेरें	gh a ee r a ee q
घेरेंगे	gh a ee r a ee q g a ee
घेरेबन्दी	gh a ee r a ee b a n a d a ii
घोंट	gh a o q tx a
घोंसला	gh a o q s a l a aa
घोटाले	gh a o tx a aa l a ee
घोड़ा	gh a o dxq a aa
घोड़े	gh a o dxq a ee
घोड़ों	gh a o dxq a o q
घोर	gh a o r a
घोल	gh a o l a
घोलते	gh a o l a t a ee
घोष	gh a o sx a
घोषणा	gh a o sx a nx a aa
घोषा	gh a o sx a aa
घोषित	gh a o sx a i t a
घोसले	gh a o s a l a ee
ङधर	ng a dh a r a
ङाला	ng a aa l a aa
चंचलमन	c a q c a l a m a n a
चंडीगढ़	c a q dx a ii g a dxhq a
चंद	c a q d a
चंदन	c a q d a n a
चंदा	c a q d a aa
चंदे	c a q d a ee
चंद्र	c a q d a r a
चंद्रकला	c a q d a r a k a l a aa
चंद्रपॉल	c a q d a r a p a l a
चंद्रमा	c a q d a r a m a aa
चंद्रमुखी	c a q d a r a m a u kh a ii
चंद्रावल	c a q d a r a aa w a l a
चकत्ता	c a k a t a t a aa
चकत्ते	c a k a t a t a ee
चकराता	c a k a r a aa t a aa
चकरिया	c a k a r a i y a aa
चकाचौंध	c a k a aa c a ou q dh a
चकित	c a k a i t a
चकोर	c a k a o r a
चक्कर	c a k a k a r a
चक्की	c a k a k a ii
चक्र	c a k a r a
चक्रधर	c a k a r a dh a r a
चक्रवर्ती	c a k a r a w a r a t a ii
चक्रोँ	c a k a r a o mq
चक्षु	c a k a sx a u
चखने	c a kh a n a ee
चञ्चलता	c a nj a c a l a t a aa
चटकमटक	c a tx a k a m a tx a k a
चटनी	c a tx a n a ii
चटपटे	c a tx a p a tx a ee
चटर्जी	c a tx a r a j a ii
चटाई	c a tx a aa ii
चट्टान	c a tx a tx a aa n a
चड्ढा	c a dx a dxh a aa
चढ	c a dxh a
चढऩे	c a dxh a ee
चढ़	c a dxhq a
चढ़कर	c a dxhq a k a r a
चढ़ता	c a dxhq a t a aa
चढ़ती	c a dxhq a t a ii
चढ़ने	c a dxhq a n a ee
चढ़नेवालों	c a dxhq a n a ee w a aa l a o q
चढ़ा	c a dxhq a aa
चढ़ाई	c a dxhq a aa ii
चढ़ाए	c a dxhq a aa ee
चढ़ाकर	c a dxhq a aa k a r a
चढ़ानी	c a dxhq a aa n a ii
चढ़ाने	c a dxhq a aa n a ee
चढ़ाया	c a dxhq a aa y a aa
चढ़ाव	c a dxhq a aa w a
चढ़ावा	c a dxhq a aa w a aa
चढ़ावै	c a dxhq a aa w a ei
चढ़े	c a dxhq a ee
चढाई	c a dxh a aa ii
चतुर	c a t a u r a
चतुरंग	c a t a u r a q g a
चतुराई	c a t a u r a aa ii
चतुर्भुज	c a t a u r a bh a u j a
चतुष्फलक	c a t a u sx a ph a l a k a
चना	c a n a aa
चने	c a n a ee
चन्दर	c a n a d a r a
चन्दा	c a n a d a aa
चन्द्रकला	c a n a d a r a k a l a aa
चन्द्रप्रभा	c a n a d a r a p a r a bh a aa
चन्द्रमा	c a n a d a r a m a aa
चन्द्रा	c a n a d a r a aa
चन्द्रागति	c a n a d a r a aa g a t a i
चपरासी	c a p a r a aa s a ii
चपलता	c a p a l a t a aa
चप्पल	c a p a p a l a
चबवा	c a b a w a aa
चबाने	c a b a aa n a ee
चमक	c a m a k a
चमकते	c a m a k a t a ee
चमकदमक	c a m a k a d a m a k a
चमकदार	c a m a k a d a aa r a
चमका	c a m a k a aa
चमकाते	c a m a k a aa t a ee
चमचमाती	c a m a c a m a aa t a ii
चमड़ी	c a m a dxq a ii
चमड़े	c a m a dxq a ee
चमत्कार	c a m a t a k a aa r a
चमत्कारी	c a m a t a k a aa r a ii
चमेली	c a m a ee l a ii
चम्पई	c a m a p a ii
चम्पा	c a m a p a aa
चम्पालाल	c a m a p a aa l a aa l a
चम्पालालजी	c a m a p a aa l a aa l a j a ii
चय	c a y a
चयन	c a y a n a
चयनकर्ता	c a y a n a k a r a t a aa
चयनके	c a y a n a k a ee
चयनित	c a y a n a i t a
चरक	c a r a k a
चरखा	c a r a kh a aa
चरण	c a r a nx a
चरणों	c a r a nx a o q
चरते	c a r a t a ee
चरने	c a r a n a ee
चरागाह	c a r a aa g a aa h a
चरित्र	c a r a i t a r a
चर्चा	c a r a c a aa
चर्चायें	c a r a c a aa y a ee q
चर्य	c a r a y a
चल	c a l a
चलकर	c a l a k a r a
चलचलूँगा	c a l a c a l a uu mq g a aa
चलता	c a l a t a aa
चलती	c a l a t a ii
चलतीं	c a l a t a ii q
चलते	c a l a t a ee
चलतेचलते	c a l a t a ee c a l a t a ee
चलतेदादाजी	c a l a t a ee d a aa d a aa j a ii
चलन	c a l a n a
चलना	c a l a n a aa
चलनागिरना	c a l a n a aa g a i r a n a aa
चलने	c a l a n a ee
चला	c a l a aa
चलाई	c a l a aa ii
चलाए	c a l a aa ee
चलाते	c a l a aa t a ee
चलाना	c a l a aa n a aa
चलाने	c a l a aa n a ee
चलाया	c a l a aa y a aa
चलायी	c a l a aa y a ii
चलाये	c a l a aa y a ee
चलिए	c a l a i ee
चली	c a l a ii
चलूँगा	c a l a uu mq g a aa
चलूंगी	c a l a uu q g a ii
चले	c a l a ee
चलें	c a l a ee q
चलेगा	c a l a ee g a aa
चलेगी	c a l a ee g a ii
चलो	c a l a o
चश्मा	c a sh a m a aa
चश्मे	c a sh a m a ee
चस्पा	c a s a p a aa
चहककर	c a h a k a k a r a
चहलकदमी	c a h a l a k a d a m a ii
चहलक़दमी	c a h a l a kq a d a m a ii
चहलपहल	c a h a l a p a h a l a
चाँटे	c a aa mq tx a ee
चाँद	c a aa mq d a
चाँदनी	c a aa mq d a n a ii
चाँदबीबी	c a aa mq d a b a ii b a ii
चाँदी	c a aa mq d a ii
चांगदेव	c a aa q g a d a ee w a
चांद	c a aa q d a
चांदनी	c a aa q d a n a ii
चांदी	c a aa q d a ii
चाकू	c a aa k a uu
चाक्रायण	c a aa k a r a aa y a nx a
चाङ	c a aa ng a
चाचा	c a aa c a aa
चाचाओं	c a aa c a aa o q
चाची	c a aa c a ii
चाट	c a aa tx a
चाताप	c a aa t a aa p a
चातुर्य	c a aa t a u r a y a
चात्	c a aa t a
चादर	c a aa d a r a
चादरें	c a aa d a r a ee q
चान	c a aa n a
चापलूसी	c a aa p a l a uu s a ii
चापानल	c a aa p a aa n a l a
चाभी	c a aa bh a ii
चाय	c a aa y a
चायख़ाना	c a aa y a khq a aa n a aa
चार	c a aa r a
चारछः	c a aa r a ch a hq
चारण	c a aa r a nx a
चारपाइयों	c a aa r a p a aa i y a o q
चारपाई	c a aa r a p a aa ii
चारा	c a aa r a aa
चारुचित्रा	c a aa r a u c a i t a r a aa
चारे	c a aa r a ee
चारोँ	c a aa r a o mq
चारों	c a aa r a o q
चाल	c a aa l a
चालक	c a aa l a k a
चालकों	c a aa l a k a o q
चालढाल	c a aa l a dxh a aa l a
चालाक	c a aa l a aa k a
चालाकी	c a aa l a aa k a ii
चालीस	c a aa l a ii s a
चालू	c a aa l a uu
चाव	c a aa w a
चावल	c a aa w a l a
चाह	c a aa h a
चाहकर	c a aa h a k a r a
चाहत	c a aa h a t a
चाहता	c a aa h a t a aa
चाहती	c a aa h a t a ii
चाहते	c a aa h a t a ee
चाहने	c a aa h a n a ee
चाहा	c a aa h a aa
चाहिए	c a aa h a i ee
चाहिये	c a aa h a i y a ee
चाहियें	c a aa h a i y a ee q
चाही	c a aa h a ii
चाहूं	c a aa h a uu q
चाहे	c a aa h a ee
चाहें	c a aa h a ee q
चाहेंगी	c a aa h a ee q g a ii
चाहेंगे	c a aa h a ee q g a ee
चाहेगा	c a aa h a ee g a aa
चाहो	c a aa h a o
चाॅकलेट	c a aa k a l a ee tx a
चिंतन	c a i q t a n a
चिंता	c a i q t a aa
चिंतापीड़ित	c a i q t a aa p a ii dxq a i t a
चिंतापूर्ण	c a i q t a aa p a uu r a nx a
चिंतित	c a i q t a i t a
चिकन	c a i k a n a
चिकनकारी	c a i k a n a k a aa r a ii
चिकनी	c a i k a n a ii
चिकित्सक	c a i k a i t a s a k a
चिकित्सकीय	c a i k a i t a s a k a ii y a
चिकित्सकों	c a i k a i t a s a k a o q
चिकित्सा	c a i k a i t a s a aa
चिट्ठियाँ	c a i tx a txh a i y a aa mq
चिट्ठी	c a i tx a txh a ii
चिट्ठीपत्रीभर	c a i tx a txh a ii p a t a r a ii bh a r a
चिड़िया	c a i dxq a i y a aa
चिड़ियां	c a i dxq a i y a aa q
चिड़ियाघर	c a i dxq a i y a aa gh a r a
चिड़ियों	c a i dxq a i y a o q
चिढ़	c a i dxhq a
चिढ़ाने	c a i dxhq a aa n a ee
चित	c a i t a
चितावर	c a i t a aa w a r a
चित्त	c a i t a t a
चित्तवृत्तियाँ	c a i t a t a w a rq t a t a i y a aa mq
चित्र	c a i t a r a
चित्रकला	c a i t a r a k a l a aa
चित्रकार	c a i t a r a k a aa r a
चित्रण	c a i t a r a nx a
