<HI> अँग	a mq g a
<HI> है	h a ei
<HI> हैँ	h a ei mq
<HI> हैं	h a ei q
<HI> हैंकिन्	h a ei q k a i n a
<HI> हैंकॅलशियम	h a ei q k a l a sh a i y a m a
<HI> हैंखुले	h a ei q kh a u l a ee
<HI> हैंडरब्	h a ei q dx a r a b a
<HI> हैंडिल	h a ei q dx a i l a
<HI> हैंपुल्लिग	h a ei q p a u l a l a i g a
<HI> हैः	h a ei hq
<HI> हैअक्सर	h a ei a k a s a r a
<HI> हैआवाप	h a ei aa w a aa p a
<HI> हैउन्होंने	h a ei u n a h a o q n a ee
<HI> हैकिड्ढा	h a ei k a i dx a dxh a aa
<HI> हैगाँवभर	h a ei g a aa mq w a bh a r a
<HI> हैज	h a ei j a
<HI> हैजिन	h a ei j a i n a
<HI> हैट	h a ei tx a
<HI> हैडमास्टर	h a ei dx a m a aa s a tx a r a
<HI> हैण्डसम	h a ei nx a dx a s a m a
<HI> हैम	h a ei m a
<HI> हैमगरमच्छ	h a ei m a g a r a m a c a ch a
<HI> हैमर	h a ei m a r a
<HI> हैमैं	h a ei m a ei q
<HI> हैम्म	h a ei m a m a
<HI> हैरत	h a ei r a t a
<HI> हैरतंगेज़	h a ei r a t a q g a ee z a
<HI> हैरान	h a ei r a aa n a
<HI> हैलो	h a ei l a o
<HI> हैल्थ	h a ei l a th a
<HI> हैसियत	h a ei s a i y a t a
<HI> हॉकर	h a k a r a
<HI> हॉकी	h a k a ii
<HI> हॉट	h a tx a
<HI> हॉबी	h a b a ii
<HI> हॉरमोनों	h a r a m a o n a o q
<HI> हॉल	h a l a
<HI> हॉलैंड	h a l a ei q dx a
<HI> हॉस्टल	h a s a tx a l a
<HI> हॉस्पिटल	h a s a p a i tx a l a
<HI> हो	h a o
<HI> होँ	h a o mq
<HI> हों	h a o q
<HI> होंगी	h a o q g a ii
<HI> होंगे	h a o q g a ee
<HI> होंठ	h a o q txh a
<HI> होंडा	h a o q dx a aa
<HI> होऊँगी	h a o uu mq g a ii
<HI> होऊंगी	h a o uu q g a ii
<HI> होकर	h a o k a r a
<HI> होगा	h a o g a aa
<HI> होगी	h a o g a ii
<HI> होगे	h a o g a ee
<HI> होङ	h a o ng a
<HI> होटल	h a o tx a l a
<HI> होटलो	h a o tx a l a o
<HI> होटेल	h a o tx a ee l a
<HI> होठों	h a o txh a o q
<HI> होत	h a o t a
<HI> होता	h a o t a aa
<HI> होती	h a o t a ii
<HI> होतीं	h a o t a ii q
<HI> होते	h a o t a ee
<HI> होतें	h a o t a ee q
<HI> होतेहोते	h a o t a ee h a o t a ee
<HI> होनहार	h a o n a h a aa r a
<HI> होना	h a o n a aa
<HI> होनायह	h a o n a aa y a h a
<HI> होनी	h a o n a ii
<HI> होने	h a o n a ee
<HI> होनेवाली	h a o n a ee w a aa l a ii
<HI> होनेवाले	h a o n a ee w a aa l a ee
<HI> होम	h a o m a
<HI> होम्योपैथी	h a o m a y a o p a ei th a ii
<HI> होली	h a o l a ii
<HI> होश	h a o sh a
<HI> होस्टेल	h a o s a tx a ee l a
<HI> होहल्ला	h a o h a l a l a aa
<HI> हौसला	h a ou s a l a aa
<HI> हौसले	h a ou s a l a ee
<HI> ह्रदय	h a r a d a y a
<HI> ह्रास	h a r a aa s a
<HI> ॠषिमुनियों	sx a i m a u n a i y a o q
<GU> અંકમાં	a q k a m a aa q
<GU> અંકાઈ	a q k a aa ii
<GU> અંકિત	a q k a i t a
<GU> અંકુરણ	a q k a u r a nx a
<GU> અંકુશ	a q k a u sh a
<GU> અંકુશો	a q k a u sh a o
<GU> અંકોરનગરમાં	a q k a o r a n a g a r a m a aa q
<GU> અંગ	a q g a
<GU> અંગત	a q g a t a
<GU> અંગદ	a q g a d a
<GU> અંગમાંથી	a q g a m a aa q th a ii
<GU> અંગરક્ષકોને	a q g a r a k a sx a k a o n a ee
<GU> અંગલક્ષણ	a q g a l a k a sx a nx a
<GU> અંગિકાને	a q g a i k a aa n a ee
<GU> અંગુઠામાંથી	a q g a u txh a aa m a aa q th a ii
<GU> અંગૂઠાનો	a q g a uu txh a aa n a o
<GU> અંગે	a q g a ee
<GU> અંગેઅંગમાં	a q g a ee a q g a m a aa q
<GU> અંગેના	a q g a ee n a aa
<GU> અંગેની	a q g a ee n a ii
<GU> અંગેનું	a q g a ee n a u q
<GU> અંગો	a q g a o
<GU> અંગ્રેજ	a q g a r a ee j a
<GU> અંગ્રેજી	a q g a r a ee j a ii
<GU> અંગ્રેજીમાં	a q g a r a ee j a ii m a aa q
<GU> અંગ્રેજો	a q g a r a ee j a o
<GU> અંજનશલાકા	a q j a n a sh a l a aa k a aa
<GU> અંજલિ	a q j a l a i
<GU> અંડકોષને	a q dx a k a o sx a n a ee
<GU> અંડર	a q dx a r a
<GU> અંડરબાર	a q dx a r a b a aa r a
<GU> અંડરસત્તર	a q dx a r a s a t a t a r a
<GU> અંડવાહિનીમાં	a q dx a w a aa h a i n a ii m a aa q
<GU> અંડાકાર	a q dx a aa k a aa r a
<GU> અંત	a q t a
<GU> અંતઃકરણનું	a q t a hq k a r a nx a n a u q
<GU> અંતઃકરણપૂર્વક	a q t a hq k a r a nx a p a uu r a w a k a
<GU> અંતઃકરણમા	a q t a hq k a r a nx a m a aa
<GU> અંતઃકલિકા	a q t a hq k a l a i k a aa
<GU> અંતઃકોશરસથી	a q t a hq k a o sh a r a s a th a ii
<GU> અંતઃફલાવરણ	a q t a hq ph a l a aa w a r a nx a
<GU> અંતઃમુખી	a q t a hq m a u kh a ii
<GU> અંતઃસ્ત્રાવ	a q t a hq s a t a r a aa w a
<GU> અંતઃસ્ત્રાવો	a q t a hq s a t a r a aa w a o
<GU> અંતઃસ્ત્રાવોનો	a q t a hq s a t a r a aa w a o n a o
<GU> અંતઃસ્રાવ	a q t a hq s a r a aa w a
<GU> અંતઃસ્રાવોના	a q t a hq s a r a aa w a o n a aa
<GU> અંતકોટરમાં	a q t a k a o tx a r a m a aa q
<GU> અંતમાં	a q t a m a aa q
<GU> અંતર	a q t a r a
<GU> અંતરંગ	a q t a r a q g a
<GU> અંતરતમ	a q t a r a t a m a
<GU> અંતરને	a q t a r a n a ee
<GU> અંતરાયો	a q t a r a aa y a o
<GU> અંતરિક્ષ	a q t a r a i k a sx a
<GU> અંતરિક્ષમાં	a q t a r a i k a sx a m a aa q
<GU> અંતરિયાળ	a q t a r a i y a aa lx a
<GU> અંતરીક્ષ	a q t a r a ii k a sx a
<GU> અંતરે	a q t a r a ee
<GU> અંતરોન્મુખ	a q t a r a o n a m a u kh a
<GU> અંતર્ગત	a q t a r a g a t a
<GU> અંતિમ	a q t a i m a
<GU> અંતીમવાદી	a q t a ii m a w a aa d a ii
<GU> અંતે	a q t a ee
<GU> અંત્યોષ્ઠીમાં	a q t a y a o sx a txh a ii m a aa q
<GU> અંદર	a q d a r a
<GU> અંદરખાને	a q d a r a kh a aa n a ee
<GU> અંદરથી	a q d a r a th a ii
<GU> અંદરનાં	a q d a r a n a aa q
<GU> અંદરની	a q d a r a n a ii
<GU> અંદરનું	a q d a r a n a u q
<GU> અંદાજ	a q d a aa j a
<GU> અંદાજપત્ર	a q d a aa j a p a t a r a
<GU> અંદાજપત્રના	a q d a aa j a p a t a r a n a aa
<GU> અંદાજપત્રમાં	a q d a aa j a p a t a r a m a aa q
<GU> અંદાજે	a q d a aa j a ee
<GU> અંધ	a q dh a
<GU> અંધકાર	a q dh a k a aa r a
<GU> અંધશ્રદ્ધા	a q dh a sh a r a d a dh a aa
<GU> અંધાધૂંધી	a q dh a aa dh a uu q dh a ii
<GU> અંધારપટથી	a q dh a aa r a p a tx a th a ii
<GU> અંધારાની	a q dh a aa r a aa n a ii
<GU> અંધારામાં	a q dh a aa r a aa m a aa q
<GU> અંધારું	a q dh a aa r a u q
<GU> અંબરીષના	a q b a r a ii sx a n a aa
<GU> અંબા	a q b a aa
<GU> અંબાણીને	a q b a aa nx a ii n a ee
<GU> અંભેકર	a q bh a ee k a r a
<GU> અંશ	a q sh a
<GU> અંશતઃ	a q sh a t a hq
<GU> અંશે	a q sh a ee
<GU> અકક્ડ	a k a k a dx a
<GU> અકથ્ય	a k a th a y a
<GU> અકબરના	a k a b a r a n a aa
<GU> અકર્મ	a k a r a m a
<GU> અકલ્પ્ય	a k a l a p a y a
<GU> અકસાની	a k a s a aa n a ii
<GU> અકસીર	a k a s a ii r a
<GU> અકસ્માત	a k a s a m a aa t a
<GU> અકસ્માતના	a k a s a m a aa t a n a aa
<GU> અકસ્માતમાં	a k a s a m a aa t a m a aa q
<GU> અકસ્માતો	a k a s a m a aa t a o
<GU> અકાઉન્ટ	a k a aa u n a tx a
<GU> અકાઉન્ટસ	a k a aa u n a tx a s a
<GU> અકાદમીએ	a k a aa d a m a ii ee
<GU> અકાદમીના	a k a aa d a m a ii n a aa
<GU> અકાદમીનો	a k a aa d a m a ii n a o
<GU> અકિહિતો	a k a i h a i t a o
<GU> અક્કડ	a k a k a dx a
<GU> અક્રમને	a k a r a m a n a ee
<GU> અક્રિય	a k a r a i y a
<GU> અક્ષની	a k a sx a n a ii
<GU> અક્ષરજ્ઞાનનું	a k a sx a r a j a nj a aa n a n a u q
<GU> અક્ષરે	a k a sx a r a ee
<GU> અખતરાઓ	a kh a t a r a aa o
<GU> અખત્યાર	a kh a t a y a aa r a
<GU> અખબારને	a kh a b a aa r a n a ee
<GU> અખબારો	a kh a b a aa r a o
<GU> અખાડાઓના	a kh a aa dx a aa o n a aa
<GU> અખાડાના	a kh a aa dx a aa n a aa
<GU> અખિલ	a kh a i l a
<GU> અખ્તરની	a kh a t a r a n a ii
<GU> અખ્યાન	a kh a y a aa n a
<GU> અગત્ય	a g a t a y a
<GU> અગત્યતા	a g a t a y a t a aa
<GU> અગત્યના	a g a t a y a n a aa
<GU> અગત્યનું	a g a t a y a n a u q
<GU> અગત્યને	a g a t a y a n a ee
<GU> અગત્યનો	a g a t a y a n a o
<GU> અગમ્ય	a g a m a y a
<GU> અગયાર	a g a y a aa r a
<GU> અગર	a g a r a
<GU> અગાઉ	a g a aa u
<GU> અગાઉના	a g a aa u n a aa
<GU> અગાઉની	a g a aa u n a ii
<GU> અગાશી	a g a aa sh a ii
<GU> અગિયાર	a g a i y a aa r a
<GU> અગીયાર	a g a ii y a aa r a
<GU> અગ્નિ	a g a n a i
<GU> અગ્નિકુંડ	a g a n a i k a u q dx a
<GU> અગ્નિની	a g a n a i n a ii
<GU> અગ્નિપથ	a g a n a i p a th a
<GU> અગ્નિપરીક્ષા	a g a n a i p a r a ii k a sx a aa
<GU> અગ્નિરૂપ	a g a n a i r a uu p a
<GU> અગ્યાર	a g a y a aa r a
<GU> અગ્યારસો	a g a y a aa r a s a o
<GU> અગ્રગણ્ય	a g a r a g a nx a y a
<GU> અગ્રણી	a g a r a nx a ii
<GU> અગ્રણીઓ	a g a r a nx a ii o
<GU> અગ્રતા	a g a r a t a aa
<GU> અગ્રિ	a g a r a i
<GU> અગ્રિત	a g a r a i t a
<GU> અઘરી	a gh a r a ii
<GU> અઘરું	a gh a r a u q
<GU> અઘોષિત	a gh a o sx a i t a
<GU> અઘ્યાત્મ	a gh a y a aa t a m a
<GU> અચલો	a c a l a o
<GU> અચળ	a c a lx a
<GU> અચાનક	a c a aa n a k a
<GU> અચૂક	a c a uu k a
<GU> અછત	a ch a t a
<GU> અજબ	a j a b a
<GU> અજમાવવામાં	a j a m a aa w a w a aa m a aa q
<GU> અજય	a j a y a
<GU> અજયે	a j a y a ee
<GU> અજરામની	a j a r a aa m a n a ii
<GU> અજરામરસ્વામી	a j a r a aa m a r a s a w a aa m a ii
<GU> અજવાળામાં	a j a w a aa lx a aa m a aa q
<GU> અજવાળું	a j a w a aa lx a u q
<GU> અજાણ	a j a aa nx a
<GU> અજાણી	a j a aa nx a ii
<GU> અજાણ્યા	a j a aa nx a y a aa
<GU> અજાણ્યાં	a j a aa nx a y a aa q
<GU> અજિતસિંઘે	a j a i t a s a i q gh a ee
<GU> અજેય	a j a ee y a
<GU> અજ્ઞાત	a j a nj a aa t a
<GU> અજ્ઞાતથી	a j a nj a aa t a th a ii
<GU> અજ્ઞાન	a j a nj a aa n a
<GU> અજ્ઞાનનું	a j a nj a aa n a n a u q
<GU> અજ્ઞાનનો	a j a nj a aa n a n a o
<GU> અજ્ઞાનીને	a j a nj a aa n a ii n a ee
<GU> અજ્ઞેયજીએ	a j a nj a ee y a j a ii ee
<GU> અજ્ઞેયની	a j a nj a ee y a n a ii
<GU> અઝરેન્કાએ	a jh a r a ee n a k a aa ee
<GU> અટકતી	a tx a k a t a ii
<GU> અટકાવવાના	a tx a k a aa w a w a aa n a aa
<GU> અટકાવવામાં	a tx a k a aa w a w a aa m a aa q
<GU> અટકાવ્યું	a tx a k a aa w a y a u q
<GU> અટકી	a tx a k a ii
<GU> અઠયાવિસ	a txh a y a aa w a i s a
<GU> અઠયાસી	a txh a y a aa s a ii
<GU> અઠવાડિયા	a txh a w a aa dx a i y a aa
<GU> અઠવાડિયામાં	a txh a w a aa dx a i y a aa m a aa q
<GU> અઠવાડિયું	a txh a w a aa dx a i y a u q
<GU> અઠવાડિયે	a txh a w a aa dx a i y a ee
<GU> અઠવાલાઈન્સ	a txh a w a aa l a aa ii n a s a
<GU> અઠાંણુ	a txh a aa q nx a u
<GU> અઠ્ઠાણું	a txh a txh a aa nx a u q
<GU> અઠ્ઠાવન	a txh a txh a aa w a n a
<GU> અઠ્ઠાવીસ	a txh a txh a aa w a ii s a
<GU> અડ	a dx a
<GU> અડકીને	a dx a k a ii n a ee
<GU> અડચણોને	a dx a c a nx a o n a ee
<GU> અડતાં	a dx a t a aa q
<GU> અડતાલીસ	a dx a t a aa l a ii s a
<GU> અડત્રીસ	a dx a t a r a ii s a
<GU> અડધી	a dx a dh a ii
<GU> અડધો	a dx a dh a o
<GU> અડવાણી	a dx a w a aa nx a ii
<GU> અડવાણીએ	a dx a w a aa nx a ii ee
<GU> અડવાણીને	a dx a w a aa nx a ii n a ee
<GU> અડીખમ	a dx a ii kh a m a
<GU> અડ્ડાના	a dx a dx a aa n a aa
<GU> અડ્ડો	a dx a dx a o
<GU> અઢળક	a dxh a lx a k a
<GU> અઢાર	a dxh a aa r a
<GU> અઢારમાસમાં	a dxh a aa r a m a aa s a m a aa q
<GU> અઢારસો	a dxh a aa r a s a o
<GU> અઢારસોસતાવન	a dxh a aa r a s a o s a t a aa w a n a
<GU> અઢારે	a dxh a aa r a ee
<GU> અઢી	a dxh a ii
<GU> અઢેલીને	a dxh a ee l a ii n a ee
<GU> અણધારી	a nx a dh a aa r a ii
<GU> અણનમની	a nx a n a m a n a ii
<GU> અણિયાળા	a nx a i y a aa lx a aa
<GU> અણીમાં	a nx a ii m a aa q
<GU> અણીવાળાં	a nx a ii w a aa lx a aa q
<GU> અણુ	a nx a u
<GU> અણુઊર્જા	a nx a u uu r a j a aa
<GU> અણુઓના	a nx a u o n a aa
<GU> અણુના	a nx a u n a aa
<GU> અણુબૉમ્બ	a nx a u b a m a b a
<GU> અણુભઠ્ઠીઓમાં	a nx a u bh a txh a txh a ii o m a aa q
<GU> અણુભઠ્ઠીની	a nx a u bh a txh a txh a ii n a ii
<GU> અણુરચનાને	a nx a u r a c a n a aa n a ee
<GU> અણુરૂપે	a nx a u r a uu p a ee
<GU> અણુશસ્ત્રો	a nx a u sh a s a t a r a o
<GU> અણુસબમરીન	a nx a u s a b a m a r a ii n a
<GU> અતિ	a t a i
<GU> અતિતપ્ત	a t a i t a p a t a
<GU> અતિતાપક	a t a i t a aa p a k a
<GU> અતિથિ	a t a i th a i
<GU> અતિરેક	a t a i r a ee k a
<GU> અતિશય	a t a i sh a y a
<GU> અતો	a t a o
<GU> અત્યંત	a t a y a q t a
<GU> અત્યાર	a t a y a aa r a
<GU> અત્યારની	a t a y a aa r a n a ii
<GU> અત્યારે	a t a y a aa r a ee
<GU> અત્યારેય	a t a y a aa r a ee y a
<GU> અત્ર	a t a r a
<GU> અત્રિ	a t a r a i
<GU> અત્રિનું	a t a r a i n a u q
<GU> અત્રે	a t a r a ee
<GU> અથડાતા	a th a dx a aa t a aa
<GU> અથડામણને	a th a dx a aa m a nx a n a ee
<GU> અથડામણમાં	a th a dx a aa m a nx a m a aa q
<GU> અથડાવવામાં	a th a dx a aa w a w a aa m a aa q
<GU> અથડાવી	a th a dx a aa w a ii
<GU> અથવા	a th a w a aa
<GU> અથાક્	a th a aa k a
<GU> અથાગ	a th a aa g a
<GU> અથ્યાચાર	a th a y a aa c a aa r a
<GU> અથ્રભાગના	a th a r a bh a aa g a n a aa
<GU> અદબભેર	a d a b a bh a ee r a
<GU> અદભૂત	a d a bh a uu t a
<GU> અદા	a d a aa
<GU> અદાણી	a d a aa nx a ii
<GU> અદાલત	a d a aa l a t a
<GU> અદાલતની	a d a aa l a t a n a ii
<GU> અદાલતમાં	a d a aa l a t a m a aa q
<GU> અદાલતે	a d a aa l a t a ee
<GU> અદ્દશ્ય	a d a d a sh a y a
<GU> અદ્ભુત	a d a bh a u t a
<GU> અદ્યતન	a d a y a t a n a
<GU> અદ્રાવ્ય	a d a r a aa w a y a
<GU> અદ્રૈતને	a d a r a ei t a n a ee
<GU> અધમતા	a dh a m a t a aa
<GU> અધમૂઓ	a dh a m a uu o
<GU> અધમૂવા	a dh a m a uu w a aa
<GU> અધર્મ	a dh a r a m a
<GU> અધવચમાં	a dh a w a c a m a aa q
<GU> અધિક	a dh a i k a
<GU> અધિકાર	a dh a i k a aa r a
<GU> અધિકારનું	a dh a i k a aa r a n a u q
<GU> અધિકારીએ	a dh a i k a aa r a ii ee
<GU> અધિકારીઓ	a dh a i k a aa r a ii o
<GU> અધિકારીઓના	a dh a i k a aa r a ii o n a aa
<GU> અધિકારીઓને	a dh a i k a aa r a ii o n a ee
<GU> અધિકારીની	a dh a i k a aa r a ii n a ii
<GU> અધિકારીને	a dh a i k a aa r a ii n a ee
<GU> અધિકારોની	a dh a i k a aa r a o n a ii
<GU> અધિકારોનું	a dh a i k a aa r a o n a u q
<GU> અધિકૃત	a dh a i k a t a
<GU> અધિગ્રહણથી	a dh a i g a r a h a nx a th a ii
<GU> અધિગ્રહણની	a dh a i g a r a h a nx a n a ii
<GU> અધિચ્છદીય	a dh a i c a ch a d a ii y a
<GU> અધિચ્છદો	a dh a i c a ch a d a o
<GU> અધિધારણ	a dh a i dh a aa r a nx a
<GU> અધિપતિ	a dh a i p a t a i
<GU> અધિવૃષણ	a dh a i w a sx a nx a
<GU> અધિવેશન	a dh a i w a ee sh a n a
<GU> અધિષ્ઠાન	a dh a i sx a txh a aa n a
<GU> અધૂરાં	a dh a uu r a aa q
<GU> અધૂરી	a dh a uu r a ii
<GU> અધોજમ્ભ	a dh a o j a m a bh a
<GU> અધોરક્ત	a dh a o r a k a t a
<GU> અધ્ધર	a dh a dh a r a
<GU> અધ્યક્ષ	a dh a y a k a sx a
<GU> અધ્યક્ષતા	a dh a y a k a sx a t a aa
<GU> અધ્યક્ષપદ	a dh a y a k a sx a p a d a
<GU> અધ્યક્ષપદે	a dh a y a k a sx a p a d a ee
<GU> અધ્યક્ષશ્રી	a dh a y a k a sx a sh a r a ii
<GU> અધ્યયન	a dh a y a y a n a
<GU> અધ્યા	a dh a y a aa
<GU> અધ્યાત્મ	a dh a y a aa t a m a
<GU> અધ્યાત્મનિષ્ઠ	a dh a y a aa t a m a n a i sx a txh a
<GU> અધ્યાપક	a dh a y a aa p a k a
<GU> અધ્યાપનની	a dh a y a aa p a n a n a ii
<GU> અનંત	a n a q t a
<GU> અનંતતામાં	a n a q t a t a aa m a aa q
<GU> અનહદ	a n a h a d a
<GU> અનાજ	a n a aa j a
<GU> અનાજના	a n a aa j a n a aa
<GU> અનાજની	a n a aa j a n a ii
<GU> અનામત	a n a aa m a t a
<GU> અનામતની	a n a aa m a t a n a ii
<GU> અનામતોના	a n a aa m a t a o n a aa
<GU> અનાયાસે	a n a aa y a aa s a ee
<GU> અનાવૃત્ત	a n a aa w a t a t a
<GU> અનાસક્તિયોગ	a n a aa s a k a t a i y a o g a
<GU> અનિચ્છનીય	a n a i c a ch a n a ii y a
<GU> અનિચ્છા	a n a i c a ch a aa
<GU> અનિતા	a n a i t a aa
<GU> અનિયંત્રીત	a n a i y a q t a r a ii t a
<GU> અનિયમિત	a n a i y a m a i t a
<GU> અનિયમીતામાં	a n a i y a m a ii t a aa m a aa q
<GU> અનિવાર્ય	a n a i w a aa r a y a
<GU> અનિવાહકતા	a n a i w a aa h a k a t a aa
<GU> અનિશ્ચિતતા	a n a i sh a c a i t a t a aa
<GU> અનુકરણીય	a n a u k a r a nx a ii y a
<GU> અનુકૂલન	a n a u k a uu l a n a
<GU> અનુકૂળ	a n a u k a uu lx a
<GU> અનુકૂળતા	a n a u k a uu lx a t a aa
<GU> અનુક્રમે	a n a u k a r a m a ee
<GU> અનુપરામની	a n a u p a r a aa m a n a ii
<GU> અનુબંધનને	a n a u b a q dh a n a n a ee
<GU> અનુભવ	a n a u bh a w a
<GU> અનુભવતો	a n a u bh a w a t a o
<GU> અનુભવની	a n a u bh a w a n a ii
<GU> અનુભવનું	a n a u bh a w a n a u q
<GU> અનુભવને	a n a u bh a w a n a ee
<GU> અનુભવી	a n a u bh a w a ii
<GU> અનુભવું	a n a u bh a w a u q
<GU> અનુભવે	a n a u bh a w a ee
<GU> અનુભવ્યું	a n a u bh a w a y a u q
<GU> અનુભવ્યો	a n a u bh a w a y a o
<GU> અનુભૂત	a n a u bh a uu t a
<GU> અનુભૂતિ	a n a u bh a uu t a i
<GU> અનુભૂતિને	a n a u bh a uu t a i n a ee
<GU> અનુયાતી	a n a u y a aa t a ii
<GU> અનુયાયી	a n a u y a aa y a ii
<GU> અનુરૂપ	a n a u r a uu p a
<GU> અનુરોધ	a n a u r a o dh a
<GU> અનુલક્ષીને	a n a u l a k a sx a ii n a ee
<GU> અનુવર્તનીય	a n a u w a r a t a n a ii y a
<GU> અનુવાદ	a n a u w a aa d a
<GU> અનુવાદો	a n a u w a aa d a o
<GU> અનુષ્ઠાન	a n a u sx a txh a aa n a
<GU> અનુસંધાન	a n a u s a q dh a aa n a
<GU> અનુસંધાનમાં	a n a u s a q dh a aa n a m a aa q
<GU> અનુસરવામાં	a n a u s a r a w a aa m a aa q
<GU> અનુસરે	a n a u s a r a ee
<GU> અનુસાર	a n a u s a aa r a
<GU> અનુસુચિત	a n a u s a u c a i t a
<GU> અનુસૂચિત	a n a u s a uu c a i t a
<GU> અને	a n a ee
<GU> અનેક	a n a ee k a
<GU> અનેકનાં	a n a ee k a n a aa q
<GU> અનેકવિધ	a n a ee k a w a i dh a
<GU> અનેરી	a n a ee r a ii
<GU> અનોખી	a n a o kh a ii
<GU> અનોખું	a n a o kh a u q
<GU> અનોખો	a n a o kh a o
<GU> અનૌપચારિક	a n a ou p a c a aa r a i k a
<GU> અનૌરસ	a n a ou r a s a
<GU> અન્તઃસ્રાવી	a n a t a hq s a r a aa w a ii
<GU> અન્ન	a n a n a
<GU> અન્નક્ષેત્ર	a n a n a k a sx a ee t a r a
<GU> અન્નનળી	a n a n a n a lx a ii
<GU> અન્નની	a n a n a n a ii
<GU> અન્નપૂર્ણા	a n a n a p a uu r a nx a aa
<GU> અન્ના	a n a n a aa
<GU> અન્નાસ્વામી	a n a n a aa s a w a aa m a ii
<GU> અન્ય	a n a y a
<GU> અન્યત્ર	a n a y a t a r a
<GU> અન્યના	a n a y a n a aa
<GU> અન્યાય	a n a y a aa y a
<GU> અન્યાયના	a n a y a aa y a n a aa
<GU> અન્યાયનું	a n a y a aa y a n a u q
<GU> અન્સારીએ	a n a s a aa r a ii ee
<GU> અપ	a p a
<GU> અપંગ	a p a q g a
<GU> અપચયન	a p a c a y a n a
<GU> અપનાવવો	a p a n a aa w a w a o
<GU> અપનાવી	a p a n a aa w a ii
<GU> અપનાવ્યા	a p a n a aa w a y a aa
<GU> અપનાવ્યું	a p a n a aa w a y a u q
<GU> અપનાવ્યો	a p a n a aa w a y a o
<GU> અપની	a p a n a ii
<GU> અપમાન	a p a m a aa n a
<GU> અપર	a p a r a
<GU> અપરિણીત	a p a r a i nx a ii t a
<GU> અપર્ણાને	a p a r a nx a aa n a ee
<GU> અપાઈ	a p a aa ii
<GU> અપાતા	a p a aa t a aa
<GU> અપાય	a p a aa y a
<GU> અપાયું	a p a aa y a u q
<GU> અપાયો	a p a aa y a o
<GU> અપાવવા	a p a aa w a w a aa
<GU> અપાવવામાં	a p a aa w a w a aa m a aa q
<GU> અપાવી	a p a aa w a ii
<GU> અપાવે	a p a aa w a ee
<GU> અપાવ્યું	a p a aa w a y a u q
<GU> અપાવ્યો	a p a aa w a y a o
<GU> અપાશે	a p a aa sh a ee
<GU> અપૂર	a p a uu r a
<GU> અપૂરતા	a p a uu r a t a aa
<GU> અપૂરતું	a p a uu r a t a u q
<GU> અપૂર્ણ	a p a uu r a nx a
<GU> અપેક્ષા	a p a ee k a sx a aa
<GU> અપેક્ષાએ	a p a ee k a sx a aa ee
<GU> અપેક્ષાઓને	a p a ee k a sx a aa o n a ee
<GU> અપોષણ	a p a o sx a nx a
<GU> અપ્પુ	a p a p a u
<GU> અપ્રકાશિત	a p a r a k a aa sh a i t a
<GU> અપ્રસ્તુત	a p a r a s a t a u t a
<GU> અફઘાનિસ્તાન	a ph a gh a aa n a i s a t a aa n a
<GU> અફઘાનિસ્તાનમાં	a ph a gh a aa n a i s a t a aa n a m a aa q
<GU> અફવા	a ph a w a aa
<GU> અફવાઓ	a ph a w a aa o
<GU> અબજ	a b a j a
<GU> અબજો	a b a j a o
<GU> અબજોપતિઓને	a b a j a o p a t a i o n a ee
<GU> અબુને	a b a u n a ee
<GU> અભરાઇએ	a bh a r a aa i ee
<GU> અભાવ	a bh a aa w a
<GU> અભાવે	a bh a aa w a ee
<GU> અભિગમ	a bh a i g a m a
<GU> અભિગમથી	a bh a i g a m a th a ii
<GU> અભિજ્ઞાન	a bh a i j a nj a aa n a
<GU> અભિનંદન	a bh a i n a q d a n a
<GU> અભિનંદનવર્ષા	a bh a i n a q d a n a w a r a sx a aa
<GU> અભિનય	a bh a i n a y a
<GU> અભિનયમાં	a bh a i n a y a m a aa q
<GU> અભિનવ	a bh a i n a w a
<GU> અભિનિત	a bh a i n a i t a
<GU> અભિનેત્રીની	a bh a i n a ee t a r a ii n a ii
<GU> અભિન્ન	a bh a i n a n a
<GU> અભિન્નઅંશે	a bh a i n a n a a q sh a ee
<GU> અભિપ્રાય	a bh a i p a r a aa y a
<GU> અભિપ્રાયો	a bh a i p a r a aa y a o
<GU> અભિયાન	a bh a i y a aa n a
<GU> અભિયાનને	a bh a i y a aa n a n a ee
<GU> અભિવ્યક્તિ	a bh a i w a y a k a t a i
<GU> અભિવ્યક્તિમાં	a bh a i w a y a k a t a i m a aa q
<GU> અભિષેક	a bh a i sx a ee k a
<GU> અભિસરણની	a bh a i s a r a nx a n a ii
<GU> અભૂતપૂર્વ	a bh a uu t a p a uu r a w a
<GU> અભ્યાગત	a bh a y a aa g a t a
<GU> અભ્યાસ	a bh a y a aa s a
<GU> અભ્યાસક	a bh a y a aa s a k a
<GU> અભ્યાસકાળ	a bh a y a aa s a k a aa lx a
<GU> અભ્યાસક્રમની	a bh a y a aa s a k a r a m a n a ii
<GU> અભ્યાસક્રમને	a bh a y a aa s a k a r a m a n a ee
<GU> અભ્યાસથી	a bh a y a aa s a th a ii
<GU> અભ્યાસના	a bh a y a aa s a n a aa
<GU> અભ્યાસની	a bh a y a aa s a n a ii
<GU> અભ્યાસમાં	a bh a y a aa s a m a aa q
<GU> અભ્યાસી	a bh a y a aa s a ii
<GU> અભ્યાસો	a bh a y a aa s a o
